MLM,HLM,AlogP,Molecular_Weight,Num_H_Donors,Num_RotatableBonds,LogD,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA7,ExactMolWt,HeavyAtomCount,HeavyAtomMolWt,Kappa1,Kappa2,Kappa3,LabuteASA,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAromaticCarbocycles,NumAromaticRings,NumHDonors,NumRotatableBonds,NumValenceElectrons,PEOE_VSA6,PEOE_VSA7,RingCount,SMR_VSA10,SMR_VSA3,SMR_VSA7,SlogP_VSA2,SlogP_VSA6,TPSA,VSA_EState3,VSA_EState6,fr_Al_COO,fr_Ar_COO,fr_Ar_N,fr_COO,fr_COO2,fr_benzene,fr_bicyclic,fr_ester
26.01,50.68,3.259,400.495,2,8,3.259,964.2690594866551,20.0956473593183,16.458141773173516,17.274638354101242,13.511570350697117,9.179102670811055,9.995599251738781,6.144068097528643,7.347263009523356,4.0195267512216635,5.114898688785327,2.8063628497493007,3.686835662382596,45.89405000414733,400.15691162800005,28.0,376.3120000000001,19.879595570548158,8.879223277111326,4.507575932736464,167.66087641118702,3.8774400000000018,109.11990000000003,400.50400000000013,2.0,7.0,1.0,3.0,2.0,8.0,148.0,6.06636706846161,51.457501495844326,3.0,17.243965607286242,20.498130741555613,46.224399452093124,34.30228579592662,24.26546827384644,89.13000000000001,10.93774575706791,7.407276646897408,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
29.27,50.59,2.169,301.407,1,2,2.172,679.9116544061065,14.982763184195939,12.511888680248868,13.328385261176594,10.041713895658194,7.120825715010608,7.937322295938334,5.529440070671273,6.817185972028868,3.7785026742577483,4.836111328261145,2.666114200326232,3.619016998294814,32.046575604766076,301.124883228,21.0,282.2629999999999,14.073964359504131,5.483862253091111,2.7847233493315575,128.36849017802123,3.3547400000000014,86.87370000000004,301.415,1.0,4.0,1.0,2.0,1.0,2.0,110.0,19.056471336613843,25.980208536304467,3.0,28.618738156653368,4.9839785209472085,39.84416715924897,17.43591465621129,24.26546827384644,45.230000000000004,4.105506792223062,7.994109636138405,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
5.586,80.892,1.593,297.358,0,3,1.585,788.7911329790626,14.940946820939052,12.682536932377499,12.682536932377499,10.86450464295571,7.81002307146028,7.81002307146028,5.689814480549289,5.689814480549289,4.2635805379652085,4.2635805379652085,3.161354034549544,3.161354034549544,12.13273413692322,297.17019360800003,22.0,278.214,13.387575877802021,5.490434179613943,2.175381314162174,128.0520652315033,1.2044999999999997,85.02700000000004,297.3660000000001,0.0,7.0,1.0,3.0,0.0,3.0,114.0,31.18920547353706,23.39234822014832,4.0,22.237488427532348,30.154144719731743,24.26546827384644,62.877926749294616,24.26546827384644,62.45,18.620721751676385,8.213718635411006,0.0,0.0,5.0,0.0,0.0,1.0,3.0,0.0
5.71,2.0,4.771,494.652,0,5,3.475,1270.6262515792544,24.578775022443732,20.81343935939765,21.62993594032537,16.841373724180315,12.55972299546133,13.999786324261969,9.786434310247442,11.661213059861936,7.401917252634679,9.55363153087504,5.425606403420505,7.201742772500918,43.321939610460284,494.24639532800006,35.0,460.3930000000003,24.0911390033913,9.79377385867449,4.766990165191862,207.57360293180287,3.8935600000000035,136.00579999999994,494.6650000000004,0.0,8.0,1.0,3.0,0.0,5.0,186.0,49.091384634321464,45.745588981847106,5.0,10.023291153407584,29.18297408219501,53.349509892163574,69.8216375193222,41.293685886287435,84.22000000000001,13.260017944122104,12.44684437496001,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
93.27,99.99,2.335,268.31,0,1,2.337,640.180061455509,14.11251969619286,11.536832706631198,11.536832706631198,9.647867045540842,6.641439059092864,6.641439059092864,5.05129401059808,5.05129401059808,3.3454952045462214,3.3454952045462214,2.390109626646296,2.390109626646296,32.046575604766076,268.121177752,20.0,252.18799999999996,12.662581621944494,4.96227458568709,2.2451464063886424,117.56192572471532,2.8177200000000004,77.18250000000003,268.31600000000003,0.0,4.0,1.0,2.0,0.0,1.0,102.0,6.06636706846161,43.67639416492469,3.0,11.594566004035068,4.9839785209472085,53.852425468928196,23.53988104395959,42.725522485534206,42.43000000000001,0.0,9.370329585537919,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
27.64,66.63,1.335,419.422,1,7,1.335,1078.3315245681376,21.413484604514082,16.672254355935085,16.672254355935085,14.417922655570507,10.088405017327485,10.088405017327485,7.705924569885652,7.705924569885652,5.616688088554676,5.616688088554676,3.9261756708500695,3.9261756708500695,0.0,419.16566265600005,30.0,396.2440000000002,20.30877450554773,8.04251673755237,3.638092834920748,171.14920837377696,2.365500000000001,105.71120000000003,419.4280000000002,1.0,7.0,1.0,2.0,1.0,7.0,160.0,0.0,31.749653560165648,4.0,22.717284390784066,14.783797982648164,39.68443138983584,48.0254355963601,17.05774782414651,80.64000000000001,2.6052648563123846,0.8231970502975188,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2.673,25.121,2.967,293.343,0,2,2.967,831.0914692766244,14.070703332935972,11.008990328513487,11.825486909441214,10.398979485566358,6.50898789830937,7.388640709564265,4.486096005246131,5.465368313408589,3.1125357406187564,3.950084398322206,2.1562912594883255,2.774304582155173,47.863938326441726,293.062282972,21.0,282.263,12.109011382630838,5.02946794600765,2.276135461429831,125.20111270913945,3.997600000000003,84.66300000000001,293.35100000000006,0.0,4.0,1.0,3.0,0.0,2.0,102.0,18.19910120538483,35.73120418951851,4.0,29.688780981422948,14.76446326439343,58.741897321357584,14.76446326439343,48.040345629656365,39.94,6.5130757694619525,11.89532000196773,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0
74.519,71.471,-0.946,347.366,2,3,-0.723,642.1232597575353,13.405412915006313,11.680610497281885,11.680610497281885,9.185871848001625,6.572193037093839,6.572193037093839,5.104892684211496,5.104892684211496,3.7170255979227322,3.7170255979227322,2.6393771740845935,2.6393771740845935,18.19910120538483,257.152812228,19.0,238.18499999999997,12.23544093091737,4.700805094050269,2.1225655574112716,112.84932916895794,2.3008000000000006,77.35700000000003,257.33699999999993,0.0,4.0,1.0,2.0,0.0,2.0,100.0,6.076020106833881,25.601227742526422,3.0,16.606505965301793,14.450987899589041,30.099525810218637,41.69797023536891,24.27512131221871,30.29,0.0,6.018046658478206,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
73.417,76.291,1.259,357.453,2,5,-0.373,760.8324950192477,17.932510652501772,15.317678375401089,15.317678375401089,12.75835149307306,9.667261562112744,9.667261562112744,7.251986666757819,7.251986666757819,5.706765889432316,5.706765889432316,4.272259230998817,4.272259230998817,0.0,357.22770848400006,26.0,330.24600000000004,17.206722092049795,7.570866068383422,3.376060262012621,152.94480881924198,1.1698000000000006,99.89940000000006,357.46200000000005,2.0,8.0,0.0,2.0,2.0,5.0,140.0,6.923737199690624,38.77279930352918,4.0,22.88892044557052,30.15261241864564,12.654640149529083,69.50862640270167,12.654640149529083,90.04,3.2009809618291762,0.4946192749750645,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
52.364999999999995,99.0,0.767,294.821,1,3,0.388,480.2502675695442,12.466255326250886,9.518649162679706,11.907571270553614,8.01487388368539,5.456961641253149,8.091486023990743,4.0609651961788185,8.000393641352643,3.0048085368970505,6.613420903043017,1.9448001162198028,5.029198411888712,0.0,294.0263474,17.0,279.70899999999995,13.29538834458379,5.237014311699203,2.8215940141858575,110.62932589586704,1.7739999999999996,70.16950000000004,294.829,1.0,4.0,0.0,1.0,1.0,3.0,96.0,11.600939890232516,38.06389019460039,2.0,32.96101692157484,9.622004595302565,16.469063152668852,38.90203859927547,16.3419133144453,49.410000000000004,3.2249215534979423,3.275064484126984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.668,94.151,0.814,269.406,1,4,-0.591,360.8133032870694,13.173362107437434,11.464687385965313,12.281183966893039,8.438471607291001,6.500549178137949,7.380201989392844,5.834790607400247,6.805688773463985,3.3021483625522015,4.066531872148332,2.486782671457029,3.1227183655171626,25.554857244611703,269.156183356,18.0,246.22999999999996,13.93052407316442,5.651337098190459,4.017465797167172,113.2489054538946,1.4201000000000001,74.72380000000004,269.41399999999993,1.0,4.0,0.0,1.0,1.0,4.0,102.0,0.0,20.771211599071872,2.0,11.336785877934737,14.783797982648164,16.584530038931756,57.71224264127081,11.707382845230455,39.60000000000001,9.899127668450811,0.4982374338624338,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.761,4.273,4.157,339.822,1,2,4.157,874.1670482151542,16.518297090128677,13.191398402461886,13.94732734848034,11.720346690612278,7.988909760045905,8.366874233055132,5.851504140270148,6.258704267010754,4.376559417061985,4.696171945322575,3.0853876498353903,3.3406438863490315,42.46456947923127,339.125073256,24.0,321.6860000000001,15.024491801592205,6.167758617633649,2.7140379851777547,145.22621938754756,3.192000000000002,99.82840000000002,339.83000000000004,2.0,5.0,2.0,3.0,1.0,2.0,122.0,35.866408164078955,24.26546827384644,4.0,39.957453155818655,9.967957041894417,53.553569861434205,36.14698266554472,48.53093654769288,58.28,1.688058268991711,15.783798934569067,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0
66.24,63.68,2.719,255.376,1,6,2.721,434.9921961003297,12.88890505706126,10.732816560899362,11.549313141827088,7.882828714625174,5.9175554282356595,7.808966966293915,4.666338647043037,6.4993448355896675,2.6528651582176934,3.3813666984399533,1.619280904508352,2.1344092837043562,0.0,255.129299912,17.0,234.21499999999995,14.191996280223185,6.168228077157347,5.842105374320597,104.29663599629633,2.2918000000000003,71.69850000000004,255.38299999999998,1.0,3.0,1.0,1.0,1.0,6.0,96.0,38.112942673227685,29.886452275407404,1.0,10.023291153407584,4.722094864452088,35.392371257240434,21.218322573752918,24.26546827384644,46.17,0.0,8.52732418430335,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
69.28,99.0,5.541,392.249,1,3,5.539,993.5629329483602,17.225403871315223,13.172372354474199,14.758368893588903,12.20350993820667,7.773974928877946,8.566973198435297,5.57175994023311,6.4874354690248,3.915066366963064,4.443731880001297,2.6357287867811885,2.9000615433003074,36.39820241076966,391.0320241680001,25.0,378.1440000000001,15.598585502468657,6.529275077310339,3.1857980284670715,153.09134853343377,5.069400000000003,101.5958,392.25600000000003,1.0,4.0,2.0,4.0,1.0,3.0,122.0,58.394513377180616,35.392371257240434,4.0,15.929943897949348,14.76446326439343,83.46596790898482,19.870990659234135,83.46596790898482,50.940000000000005,14.622965360991156,23.41674393519133,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0
48.42,82.81,3.959,457.528,3,7,3.95,1296.3695701166346,23.49298858481683,19.422823729193837,19.422823729193837,16.60601938362316,11.067699174821964,11.067699174821964,8.120177567731309,8.120177567731309,5.767796208179581,5.767796208179581,4.012571554790058,4.012571554790058,31.443616759675095,457.22262310400004,34.0,430.3220000000003,21.720902244699992,9.40165901420201,4.645057598745832,197.70971369923123,4.027200000000002,132.19809999999998,457.5380000000003,3.0,9.0,2.0,4.0,3.0,7.0,174.0,6.06636706846161,36.2252151491558,5.0,23.140974608188646,25.06523038934697,66.11563610900288,40.512793273808285,54.98873312560889,98.15,14.497672310154655,12.005493471885032,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0
59.496,66.631,-1.524,289.308,3,4,-1.424,669.1409192245792,14.043605595440512,10.355267136718997,11.171763717646723,8.898684032670673,5.844257280772388,7.3274205283667815,4.34929874093324,6.0530957413784705,2.868658222775997,4.444403819498049,1.992219571403668,3.291093347055973,4.9839785209472085,289.07324158,19.0,274.193,13.969642403063043,5.27248773884144,3.1127119698117243,108.80174811985795,-1.1710799999999988,66.58290000000002,289.31300000000005,3.0,8.0,0.0,1.0,3.0,4.0,106.0,0.0,19.765380445542643,2.0,10.023291153407584,14.690051906346504,26.532012656247584,37.64135878439715,14.484557843661419,121.11999999999999,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1.776,5.529,4.143,445.596,1,8,3.318,1066.4458357189046,22.622745096813755,19.632844544879006,19.632844544879006,16.20784123585624,12.33527014411639,12.33527014411639,9.702799597253549,9.702799597253549,7.509484413124653,7.509484413124653,5.755331482485343,5.755331482485343,23.229487439386773,445.27292736,33.0,410.3270000000002,22.17653144861381,10.103467372929769,4.994705727741728,196.27158424276192,4.064800000000003,132.3937,445.60700000000026,1.0,5.0,2.0,3.0,1.0,8.0,174.0,42.46456947923127,60.9026704873306,5.0,16.810104661432565,14.783797982648164,71.41813459439696,66.62852367058838,54.727780119305955,48.57,1.1409098367507668,17.701903647867233,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0
13.856,42.906,2.791,292.335,2,4,3.045,865.5318494153353,15.526733258565956,12.24451982870031,12.24451982870031,10.761881452923198,7.224508016447067,7.224508016447067,5.144597845311524,5.144597845311524,3.7256238446045664,3.7256238446045664,2.4272282024537337,2.4272282024537337,37.255572541998674,292.132411132,22.0,276.214,14.236666634308785,5.9594357973070045,2.44828510423105,127.79541433411622,2.837480000000001,86.54650000000004,292.34200000000004,2.0,5.0,1.0,3.0,2.0,4.0,110.0,25.122838405075452,18.55355575984923,3.0,27.623712641997145,9.967957041894417,42.09213040561812,27.723207230396,36.52867891392113,81.83,23.793726666618085,11.831668318153708,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0
99.0,83.03,5.295,519.675,2,4,5.295,1206.0973365731377,23.032651236960596,15.788111686741509,18.130037171874672,14.543820313256738,8.472363179499984,9.643325922066566,6.259385110523202,7.508298262745019,4.22311943332758,4.828855859672964,2.8312973814504154,3.4795044756414004,0.0,517.976828284,31.0,507.58400000000006,22.758244539384336,8.674388985339508,4.280754826535057,185.86831745770394,4.764920000000002,108.62840000000004,519.6800000000001,2.0,6.0,2.0,3.0,2.0,4.0,162.0,11.600939890232516,40.54986672626019,3.0,45.03262952156844,15.097273347452553,73.98101194899768,28.642516184826423,28.86866429283032,76.02000000000001,8.811912003157044,3.9271957260497476,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
33.778,51.664,2.865,296.302,1,3,2.865,875.669443130889,15.689869965382487,11.914997358830243,11.914997358830243,10.65139700539098,6.85132553442504,6.85132553442504,4.859647806306766,4.859647806306766,3.374650546264106,3.374650546264106,2.365957278440259,2.365957278440259,12.992958512482897,296.118572636,22.0,283.20500000000004,13.949621190335199,5.40722907419677,2.1461413390572934,125.56028303941646,2.33678,79.29840000000002,296.309,2.0,6.0,1.0,3.0,1.0,3.0,110.0,25.477292959539852,24.117007251546223,3.0,11.465039998602755,19.811443318518734,41.470545104589256,19.811443318518734,24.26546827384644,92.89,21.34309701646958,7.99062585892943,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0
99.9,99.9,1.907,377.236,1,2,1.907,781.4782580704081,15.97432701575866,12.588143604314618,14.174140143429323,11.131030293135234,7.860706791597284,8.653705061154636,6.174903394906018,7.0905789236977075,4.652453593137651,5.1457052318546905,3.4565544748123225,3.8176397352698044,23.09901093623531,376.05348788400005,23.0,360.10600000000017,14.686487965344789,5.632205182309723,2.524859460612248,141.49340549024436,2.3007,90.06770000000003,377.24200000000025,1.0,6.0,1.0,2.0,1.0,2.0,120.0,15.929943897949348,31.04074445123685,4.0,44.46509106656845,15.097273347452553,22.671820721217244,46.545902023893284,22.671820721217244,69.3,8.149775972117242,5.786869061674256,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
