id,MLM,HLM
TEST_000,23.38702546243939,48.39502122274406
TEST_001,59.13321630105254,81.15668799702448
TEST_002,31.717751839466892,50.62390068925745
TEST_003,49.86505898313342,68.41313486700292
TEST_004,60.94410834556456,80.19662883281651
TEST_005,53.80615892831325,73.63846773455276
TEST_006,24.57643547251402,45.57474109170839
TEST_007,28.665090625225794,55.628908283739904
TEST_008,20.6855750362014,39.02745193590145
TEST_009,12.64958981405032,39.79047282125261
TEST_010,31.851885390189178,46.196965632922016
TEST_011,52.293577468232144,70.88437545118069
TEST_012,49.19903986251012,65.72650431548249
TEST_013,38.77464392882983,59.54767926255542
TEST_014,18.391699453002296,34.62748184862399
TEST_015,75.2657597117333,85.78606714963615
TEST_016,38.91352610067946,45.246920516210366
TEST_017,43.237680334685265,68.77449607319554
TEST_018,76.956554271004,84.18865655342826
TEST_019,56.42815294714012,75.24983632624114
TEST_020,12.921211852119484,38.20496083323218
TEST_021,11.75418223922885,25.659035069029795
TEST_022,17.125735732106364,28.756053814004435
TEST_023,27.439379089856672,54.15900961144054
TEST_024,18.406757717392193,30.165148478633142
TEST_025,29.462549438019572,50.41239434587723
TEST_026,18.60746252677834,49.363579169006876
TEST_027,66.39579211333506,82.5277128944036
TEST_028,29.14375004742363,56.88282398955846
TEST_029,45.37148528160623,62.63820690697089
TEST_030,38.75944970032556,58.08378208499819
TEST_031,20.8213254529244,37.66048795979105
TEST_032,21.299090340603485,45.93678466458853
TEST_033,27.21395174545519,46.83891913473866
TEST_034,21.707015952031483,53.77934479510263
TEST_035,17.976088521633145,33.769764230933376
TEST_036,36.42169579544904,55.76551033297425
TEST_037,54.22590515586187,76.15232894960053
TEST_038,23.85629631706788,57.69490971241913
TEST_039,20.078731481547315,44.82956108173472
TEST_040,44.8400347972129,56.16090435067015
TEST_041,62.47972140795463,82.88313760645167
TEST_042,20.574958046864996,26.11207734319605
TEST_043,16.116904894846954,37.02283414230853
TEST_044,22.79400214279262,39.562109853501106
TEST_045,68.52169691186074,78.8109422692981
TEST_046,17.39662488951907,49.31804586455101
TEST_047,14.118327075660538,34.8411971657958
TEST_048,51.91062204592689,61.24476214835319
TEST_049,24.008037140972164,44.01130301604309
TEST_050,68.55923470561127,73.22130932086546
TEST_051,29.363135660044776,45.52780845951483
TEST_052,28.476685253133205,47.87723082801831
TEST_053,30.076403005939742,44.291034706172454
TEST_054,28.058597113951954,50.80876716070142
TEST_055,20.83786526936359,49.445067062967595
TEST_056,40.68960275178545,55.93334311229935
TEST_057,40.07236133962709,66.08856553852121
TEST_058,14.900904352423142,32.66282949881205
TEST_059,31.179010346531875,41.77162982843519
TEST_060,27.742378781493233,48.63308451153318
TEST_061,65.9711201781337,80.58556889259222
TEST_062,34.31995382868169,59.238491048546294
TEST_063,60.901748958277125,76.64018954532648
TEST_064,25.99568551851801,52.665162435241996
TEST_065,33.21994989415485,59.839861390978825
TEST_066,50.47481572354244,69.27608956560367
TEST_067,51.101593627292004,71.60398937773863
TEST_068,36.804481067049075,61.154650826829595
TEST_069,33.30284211557856,58.35767908365841
TEST_070,16.432119166730683,45.93594106596715
TEST_071,29.362056823118294,52.01808521904637
TEST_072,28.88092993484294,46.732738346638726
TEST_073,51.95458996029148,75.03341832362067
TEST_074,23.21915439447863,38.93674731017007
TEST_075,67.94597904290214,80.75340251337903
TEST_076,45.29566143334081,75.5688851100646
TEST_077,38.85189424723452,49.01067556678032
TEST_078,47.11219594050274,70.2297985496791
TEST_079,39.20106663354055,51.48295602439383
TEST_080,57.62335323024287,76.92345658396786
TEST_081,45.58648215598346,60.91398633434268
TEST_082,36.61472354465644,52.7794557943228
TEST_083,17.290556182338207,42.2394819144445
TEST_084,33.511532566208096,51.43368883552411
TEST_085,74.47937616199997,90.73494872800171
TEST_086,39.60218830990842,49.32229370187062
TEST_087,76.25173627696836,91.17913737311162
TEST_088,39.13740137288222,56.32578104298064
TEST_089,52.107174882617215,60.528474269201766
TEST_090,37.35458113960168,52.41458862820925
TEST_091,23.620852483264535,47.76959712534082
TEST_092,37.041788799199196,55.04661199899891
TEST_093,27.018047342968554,46.010535184244276
TEST_094,71.77506434468708,83.61045642860168
TEST_095,30.482874622522814,49.55777391547842
TEST_096,68.95545409578324,86.17647177400528
TEST_097,75.38340833743634,72.59459347513086
TEST_098,18.49803641472857,42.17557629210622
TEST_099,16.789312371242104,36.33748631846832
TEST_100,61.98146484370518,75.75126311892785
TEST_101,17.303915860517737,39.126161970726486
TEST_102,63.12302883032012,79.32567485065408
TEST_103,51.09704805900568,71.5114630376736
TEST_104,25.071373923004984,46.71229591447697
TEST_105,47.706707018411265,63.7363585492796
TEST_106,45.686014386975295,59.00836612690935
TEST_107,76.34609771072058,90.76943404728397
TEST_108,46.99069434352598,66.91825196470015
TEST_109,17.77233763383051,37.578712969982575
TEST_110,38.795246537815125,66.62614567724998
TEST_111,27.566373726698032,57.12449983699987
TEST_112,24.33981583195418,39.64223007113837
TEST_113,54.303693024504824,76.01232350959995
TEST_114,41.474919442311844,70.28299296071415
TEST_115,13.754454458092301,38.866121141899484
TEST_116,19.268064010005922,43.421144179221386
TEST_117,43.961090014184876,59.27593690368759
TEST_118,47.01644150470293,54.833398719918485
TEST_119,24.082403456997945,42.69337076604554
TEST_120,58.45031371469555,78.85873783417028
TEST_121,37.116421256435906,55.0541168206957
TEST_122,14.74946093637956,34.194703271629734
TEST_123,44.13218569188792,72.5452605124411
TEST_124,9.853718099318598,33.942797377627585
